,text,polarity,subjectivity
32,"""It's like losing a family member."" Spurs guard Manu Ginobili is retiring after 16 seasons. @TheSteinLine talks to perhaps his biggest fan — Charles Barkley: https://nyti.ms/2Now3as ",0.00,0.00
33,"North Carolina’s congressional map was thrown out in federal court, again. Judges could order new districts to be drawn before November. https://nyti.ms/2P9LwvC ",0.14,0.45
34,"Traces of marijuana can be found in breast milk up to 6 days after use, according to pediatricians. Experts have called for more research into how babies are affected. https://nyti.ms/2MUkxXq ",0.50,0.50
35,Charles Kushner and Michael Cohen face scrutiny in New York for claims that they falsified construction permits in an attempt to remove rent-regulated tenants from buildings https://nyti.ms/2PJ8ZEG ,0.14,0.45
36,Too many of the tributes to John McCain aren't really about John McCain. Then again too many of the tributes to Aretha Franklin weren't really about Aretha Franklin. https://nyti.ms/2P7Ml87 ,0.35,0.35
37,"Parting words from the student loan watchdog at the Consumer Financial Protection Bureau to Mick Mulvaney: “You have used the bureau to serve the wishes of the most powerful financial companies in America"" https://nyti.ms/2Nn3tpL ",0.20,0.38
38,Evening Briefing: Here's what you need to know at the end of the day https://nyti.ms/2wk9kpD ,0.00,0.00
39,"Donna Shalala was an official in the Clinton administration, and ran 3 major universities. Now she's running for Congress. ""I’ll never be a freshman or rookie. I just am angry at what’s going on in Washington."" https://nyti.ms/2win5os ",-0.22,0.75
40,President Trump touted the preliminary agreement with Mexico as a new trade pact that could replace Nafta and threatened to hit Canada with auto tariffs if it did not “negotiate fairly” https://nyti.ms/2wk52P0 ,0.42,0.68
41,"A fatal shooting in Florida on Sunday thrust e-sports, a young and growing industry, into the national spotlight https://nyti.ms/2wri78b ",0.10,0.40
42,"New: Trump has intervened in primaries like no other president.  

He is rewarding allies, forging new alliances and, most importantly, purchasing a measure of political insurance if an impeachment vote comes 

w @maggieNYT > https://nyti.ms/2P8wXbq ",0.25,0.55
43,Is Rudy Giuliani shrewd or just “untethered”? His strident defense of President Trump has left even old friends questioning his approach. https://nyti.ms/2wsGX7Q ,0.05,0.10
44,"On today's episode of ""The Daily"": @mikiebarb, @BumillerNYT, @hillhulse, @MarkLandler and @ScottShaneNYT examine pivotal moments in John McCain's life and career. Take a listen. https://nyti.ms/2BRT7gh ",0.25,0.40
45,“The Daily” from The New York Times takes you deeper into the stories of the moment with the journalists on the ground. Listen each weekday at  https://www.nytimes.com/thedaily pic.twitter.com/1NHPrKFQrq,0.07,0.23
46,This Sri Lankan coconut chicken curry with cashews goes together fairly quickly despite the long list of ingredients  https://nyti.ms/2P9Q596 pic.twitter.com/D12FA8JXAS,-0.11,0.62
47,Are small tweaks all that's needed to curb health care spending in the U.S.? A group of economists thinks so. https://nyti.ms/2wj2AYL ,-0.25,0.40
48,"Personal finance management is a concrete, learnable skill, just like driving a car or throwing a baseball https://nyti.ms/2Pc9V3w ",0.08,0.30
49,"Can the president be impeached with the currently know facts from the Michael Cohen and Paul Manafort cases? And does the fact that the crimes were committed before Trump was president matter? 
We answer your questions. https://nyti.ms/2PGpIbK ",0.00,0.40
50,Read John McCain's farewell statement https://nyti.ms/2wjeYbv ,0.00,0.00
51,"*Steve Buscemi in ""30 Rock"" voice* 
How do you do, fellow kids? https://nyti.ms/2PdoBQ1 ",0.00,0.00
52,"In 1998, a boy was found murdered in the Netherlands. Now 20 years later, and after 17,500 Dutchmen voluntarily took part in DNA profiling, a suspect has been arrested. https://nyti.ms/2PF00Ey ",0.00,0.00
53,"Florida's Democratic primary will set up one the most consequential governor’s races in the country, in the nation’s largest presidential battleground state. But with candidates running along battle lines, the results are proving hard to predict. https://nyti.ms/2PIjJn6 ",0.20,0.51
54,Here's how to ask for that raise you've been waiting for https://nyti.ms/2Pb7TAD ,0.00,0.00
55,Footage gathered by Rohingya refugees provides damning evidence of their genocide  https://nyti.ms/2wsycL2 pic.twitter.com/PbQSYrKJ2e,0.00,0.00
56,Why did the interview with Sarah Palin never air on Sacha Baron Cohen’s “Who Is America?” Showtime isn’t saying. https://nyti.ms/2PFyk2p ,0.00,0.00
57,“I owe him a career.” — Matthew Broderick on Neil Simon https://nyti.ms/2P8NVXq ,0.00,0.00
58,"Most homes in Barcelona are apartments, so the architect Guillermo Santomà wanted to preserve Casa Horta's identity as a house by maintaining its verticality https://nyti.ms/2witcJD ",0.50,0.50
59,"Patricia Clarkson on being stopped by people with ""Sharp Objects"" theories:
""Oh, God. Oh, God. Oh, God. Oh, God. Oh, God. Oh, God. It’s been quite a time."" https://nyti.ms/2wjUD5D ",-0.12,0.75
60,Endorsements from President Trump can effectively decide competitive primary races in the midterms. Some Republican candidates are aggressively lobbying for an endorsement. Others are striking deals to keep him out of their races. https://nyti.ms/2PFxseh ,0.50,0.77
61,"A judge ruled that blueprints for 3D printed guns must stay off the internet for now, saying the First Amendment rights to publish the plans “are dwarfed by the irreparable harms the states are likely to suffer if the existing restrictions are withdrawn"" https://nyti.ms/2PFW46H ",0.12,0.67
62,"Being bad at money is sometimes viewed as a personal failing. And that’s nonsense! If you were never taught money management, here's a good place to start: https://www.nytimes.com/2018/08/27/smarter-living/how-to-be-better-at-money.html …",0.00,0.52
63,"President Trump has threatened to take away the security clearance of Bruce Ohr, a career Justice Department official who fought Russian organized crime https://nyti.ms/2PFK7xR ",0.00,0.00
64,How Robin Williams made one specific joke both funny and sad https://nyti.ms/2Pxa1Uc ,-0.08,0.71
65,Did Juul try to lure teenagers to its sleek e-cigarettes and get customers for life? That question is at the heart of a federal investigation. https://nyti.ms/2wvglTy ,0.00,0.00
66,Underrepresented students are less likely to take the SATS more than once. But research shows that encouraging students to retake tests could close a substantial portion of the income and racial gap in enrollment at four-year colleges. https://nyti.ms/2wr4Tsi ,0.11,0.52
67,A doctor in Hong Kong has been accused of killing his wife and daughter with a yoga ball filled with carbon monoxide https://nyti.ms/2PI22nF ,0.40,0.90
68,"The White House inexplicably flew the American flag at full-staff on Monday after lowering it on Sunday in honor of John McCain. The lowering and raising of the flag amplified the division between President Trump and McCain, who died Saturday. https://nyti.ms/2wt5r0v ",-0.20,0.30
69,"In Opinion

Author Matt Welch writes, ""If we’ve learned anything about the nature of government over the span of John McCain’s lifetime, it’s that unaccountable power behaves unaccountably."" https://nyti.ms/2P6t6vE ",0.00,0.00
70,"The 96-year-old French painter and author Françoise Gilot — famously known as the former lover and muse to Pablo Picasso — has a book of sketches out. “Things I have seen, I want to take them out of my mind.” https://nyti.ms/2PDG05v ",0.17,0.33
71,"hello, here are three new episodes of INTERNETTING!  https://www.nytimes.com/video/arts/100000005777067/unboxing-videos-internet.html …pic.twitter.com/AhNAI7Ecre",0.17,0.45
72,"""It’s going to be decades in Arizona before we see another political figure with the international stature of John McCain."" https://nyti.ms/2wwis9Y ",0.00,0.05
73,"Can the president be impeached with the currently know facts from the Michael Cohen and Paul Manafort cases? And does the fact that the crimes were committed before Trump was president matter? 
We answer your questions: https://nyti.ms/2PGpIbK ",0.00,0.40
74,The 2018 U.S. Open begins today. Follow along with day one's matches here: https://nyti.ms/2wgSI1G ,0.00,0.50
75,"Kalashnikov, the rifle company, introduced a concept electric car that it said would compete with Tesla. But Russians saw mostly an old Soviet clunker. https://nyti.ms/2woWd5E ",0.10,0.20
76,The New York Times obituary for Neil Simon https://nyti.ms/2wk8aKB ,0.14,0.45
77,"As flag over the WH hangs at full staff, ⁦@juliehdavis⁩ on how Trump’s refusal to honor John McCain shows he is “unwilling to act as a unifying force at major moments in the life of the country.” https://nyti.ms/2P4vvXA?smid=nytcore-ios-share …",0.21,0.53
78,Breaking News: The U.S. and Mexico reached a preliminary agreement to revise key portions of Nafta. The trade deal now needs approval from Canada. https://nyti.ms/2wiGlCy ,0.00,1.00
79,Joe Arpaio got a presidential pardon and parlayed it into a Senate campaign in Arizona. But the sheriff may be entering his last stand in Tuesday's primary. https://nyti.ms/2wsf6EP ,0.20,0.28
80,"Here’s everything that we now know — and don’t — about President Trump’s $130,000 deal with Stormy Daniels https://nyti.ms/2wk2ctb ",0.00,0.00
81,John McCain was proud of his reputation as a maverick in American politics. Here's a look at the senator's complex legacy through his half-century of public life. https://nyti.ms/2wj0WGB ,0.12,0.37
82,Morning Briefing: Here's what you need to know to start your Monday https://nyti.ms/2wqRsbz ,0.00,0.00
83,"An old-fashioned, non-digital paper planner. Scissors. A great pen. Choose the right kind of each one, and life is just easier. https://nyti.ms/2PCi56j ",0.56,0.73
84,"As President Trump faces his own legal troubles, he has taken to using a vocabulary that sounds uncannily like that of New York mobsters in the waning days of organized crime https://nyti.ms/2PArgnC ",0.31,0.55
85,"20-year-old Naomi Osaka is one of the most intriguing young stars in sports today: an athlete who grew up in one place (the United States), represents another (Japan) and, for some, symbolizes something as large as the world’s multicultural future https://nyti.ms/2PzuHuY ",0.22,0.37
86,Black men have the lowest life expectancy of any ethnic group in the United States. Researchers believe it may be because of a lack of black physicians. https://nyti.ms/2P1ncf6 ,-0.17,0.43
87,Your saliva might help you learn to eat your greens https://nyti.ms/2wrkhF3 ,0.00,0.00
88,"This farro with salmon, cucumber, radicchio and dill recipe goes from crunchy cool to warm and comforting in every bite  https://nyti.ms/2wnQ7lP pic.twitter.com/uDr8W07VCY",0.47,0.62
89,"The pan-fried zucchini planks in this marinated zucchini with farro, chickpeas and parmesan recipe will add extra crunch and flavor to your meal  https://nyti.ms/2PvednH pic.twitter.com/r5qkbsBXp3",0.00,0.10
90,"Bill Cunningham, for many years the fashion and society photographer for The Times, left a memoir behind when he died in 2016. Apparently no one knew he’d written it. https://nyti.ms/2OY1it6 ",0.02,0.39
91,Sketchbook: Back-to-School Blues https://nyti.ms/2PFQHEk ,0.00,0.00
92,"The current home of the U.S. Open started out as a derelict relic of the 1964 World's Fair. Now it's a state-of-the-art, moneymaking playground for tennis. Here's your guide.  https://nyti.ms/2P55Kqf pic.twitter.com/exmRF3owAc",0.23,0.60
93,The West Bank Model Is a Failure https://nyti.ms/2P5IGHR ,-0.32,0.30
94,"Almost everyone involved in Job Corps questions whether it's living up to its ideals, with an outdated program model that often houses students miles from the jobs they need https://nyti.ms/2PFR5TC ",-0.40,0.63
95,"Police say a man shot last month in the Bronx is an associate of a well-known mafia family. ""The fact that they aren't as flagrant and notorious as they used to be doesn’t mean they’re not there."" https://nyti.ms/2wrt75L ",-0.16,0.38
96,"John McCain will be the 13th former senator to lie in state at the Capitol Rotunda, and will  have a full dress funeral service at the National Cathedral. https://nyti.ms/2P55Luj ",0.12,0.18
97,"Myanmar’s army commander and other top generals should face trial for genocide against Rohingya Muslims and for crimes against humanity targeting other ethnic minorities, United Nations experts said after a yearlong investigation https://nyti.ms/2wt9ZEf ",0.08,0.42
98,"Myanmar Generals Should Face Genocide Charges, U.N. Panel Says https://nyti.ms/2PH5i2D ",0.00,0.00
99,"In his decision to keep Tesla public, Elon Musk cited 4 key factors that ultimately changed his mind. https://nyti.ms/2PGSedw ",0.00,0.69
100,The Checkup: Let Kids Play https://nyti.ms/2wgU6kX ,0.00,0.00
101,Some demonstrators carried signs condemning racism; others had draped themselves in Confederate flags https://nyti.ms/2wu6wW9 ,0.00,0.00
102,A live-stream caught the chilling moment when the shooting began. A red laser dot appeared on the chest of one of the players. The video of the players then disappeared. 12 gunshots rang out. https://nyti.ms/2wuFL3G ,-0.25,0.45
103,"In @NYTOpinion 

Op-Ed contributor Elizabeth Guffey writes, ""This month, the 'wheelchair symbol,' formally known as the International Symbol of Access, turned 50. It’s an occasion worth celebrating."" https://nyti.ms/2PGnGso ",0.15,0.05
104,A contentious exhibition has cast a spotlight on the battle over gay and transgender rights in Brazil https://nyti.ms/2Pe4lxN ,0.42,0.58
105,"These balls of algae are considered a national treasure in Japan, and many things about them remain mysterious. But now one of their mysteries has been solved. https://nyti.ms/2P9FhHT ",0.25,0.75
106,"Personal finance management is a concrete, learnable skill, just like driving a car or throwing a baseball https://nyti.ms/2PEcjRH ",0.08,0.30
107,An archbishop's allegations and personal attacks amounted to an extraordinary public declaration of war against Pope Francis https://nyti.ms/2PAsVK9 ,0.11,0.46
108,"Your European Morning Briefing is ready: Pope Francis is accused, Russia prepares to go nuclear offshore, Denmark considers its hippie commune https://nyti.ms/2wq3i5S ",0.10,0.25
109,"The German Lost Art Foundation, praised often for helping return art lost in the Holocaust, is facing criticism from a Jewish collector’s heirs who say the group is unfairly siding with dealers https://nyti.ms/2P95Xsn ",-0.17,0.33
110,"If you're not sure why Pope Francis is apologizing to Ireland, read this painful @DanBarryNYT piece on single mothers who were separated from their ""illegitimate spawn."" https://www.nytimes.com/interactive/2017/10/28/world/europe/tuam-ireland-babies-children.html …",-0.34,0.67
111,"It is finally time for the night owls of the world to rise! (Just not too early, of course.) https://nyti.ms/2wos5s3 ",0.05,0.65
112,"Writers, actors and others took to social media to remember Neil Simon's life and influence https://nyti.ms/2wrMR9n ",0.03,0.07
113,*plays Fergie* G-L-A-M-O-R-O-U-S https://nyti.ms/2wfDz0T ,0.00,0.00
114,Russia is unveiling a floating nuclear power plant that is for now the only one of its kind https://nyti.ms/2PGnoSo ,0.30,0.95
115,Australia’s new prime minister speaks often and openly about his Christian faith — a rarity among Australian politicians https://nyti.ms/2PDZ1o9 ,0.03,0.24
116,A Japanese tourist in North Korea was detained after apparently filming footage of a military facility in the area https://nyti.ms/2woQI6Z ,-0.02,0.15
117,"A.E. Hotchner, the man who was everybody’s best friend — Ernest Hemingway’s, anyway, and Paul Newman’s — wrote his latest book in longhand https://nyti.ms/2Pa5O86 ",0.75,0.60
118,"Brands are reintroducing products for new generations. “What’s old is new again."" https://nyti.ms/2PHoopg ",0.12,0.37
119,"""It’s like Jekyll and Hyde.” Duncan Hunter boasted a glittering political resume, but a corruption scandal could hold far-reaching consequences. https://nyti.ms/2wisMCZ ",0.00,0.10
120,"“This is very unusual in Chicago,” a Fire Department spokesman said. “We’re going the wrong way fast, and it’s very disturbing to the department.” https://nyti.ms/2PDFp3z ",-0.17,0.88
121,"""Crazy Rich Asians"" had a decrease of only 6 percent in ticket sales compared to its opening weekend. That kind of audience “hold” is extremely rare and indicates exceptional word-of-mouth sales. https://nyti.ms/2P907aC ",0.22,0.91
122,"In a memo, Defense Secretary Jim Mattis urged President Trump to build a national strategy for A.I. that matches the bold plans of China. https://nyti.ms/2PCPyNQ ",0.33,0.67
123,"In Brazil, ‘Queer Museum’ Is Censored, Debated, Then Celebrated https://nyti.ms/2PGWpWu ",0.35,0.75
124,"Alice Dunnigan, the first black woman to cover the White House, will be honored with a bronze statue at the Newseum https://nyti.ms/2PwyWr4 ",0.03,0.26
125,"A nationwide prisoner strike is drawing attention to low inmate wages, decrepit facilities and harsh sentences. “People are starting to realize how disgusting it is how human beings can be paid pennies."" https://nyti.ms/2P6tpGI ",-0.24,0.44
126,"President Trump didn't make even the most cursory public show of respect for John McCain, against whom he had continued a personal grievance even as it was apparent that the the senator was losing his battle with brain cancer https://nyti.ms/2P9wJ3X ",0.14,0.30
127,The Nuclear Power Plant of the Future May Be Floating Near Russia https://nyti.ms/2P5lHN9 ,0.05,0.26
128,"""Let the obvious sit too long and it becomes like an animal in a zoo: pointed at, but never exercised, and idly wandered past by people who have forgotten how powerful it is in action,"" writes Columbia Journalism Review and n+1 editor Nausicaa Renner https://nyti.ms/2PxuFE1 ",0.02,0.45
129,"How does a movie or TV show prevent a steamy scene from becoming a #MeToo experience for the actors? Enter the ""intimacy director."" https://nyti.ms/2PzRgiY ",0.45,0.85
130,"""I prefer the early plays,"" our critic writes about Neil Simon's work. ""That’s in part because they literally don’t write them like that anymore."" https://nyti.ms/2P8RMDQ ",0.10,0.30
131,North Korea to Expel a Japanese Tourist Accused of Crime https://nyti.ms/2wmCiUS ,0.00,0.00
132,"As a Nation Mourns McCain, Trump Is Conspicuously Absent https://nyti.ms/2PH8fjE ",0.00,0.00
133,Open floor plan offices can be a challenge. Here's how to make your work space a bit more bearable. https://nyti.ms/2OY2H2Q ,0.25,0.50
134,The number of individuals who sleep less than the recommended hours is increasing in the developed world. This is costing nations billions of dollars. https://nyti.ms/2wmMZGU ,-0.03,0.18
135,Your toilet isn’t a garbage can https://nyti.ms/2wcSTuT ,-0.03,0.00
136,Opera of Demons https://nyti.ms/2PGSoS8 ,0.00,0.00
137,"An Appraisal: Neil Simon Drew Big Laughs, Then Came a Cultural Shift https://nyti.ms/2P7nEZc ",0.05,0.10
138,Artificial Intelligence Is Now a Pentagon Priority. Will Silicon Valley Help? https://nyti.ms/2P4v0ga ,-0.60,1.00
139,Here are books for kids who might find some comfort knowing that other students (and dinosaurs and stick insects) get back-to-school jitters too https://nyti.ms/2nLlVNF ,-0.12,0.38
140,"Capitalism, Socialism, and Unfreedom https://nyti.ms/2Pa2FFw ",0.00,0.00
141,Prison Strike Organizers Aim to Improve Conditions and Pay https://nyti.ms/2wtFjCG ,0.00,0.00
142,My WORKOUT: How One Silicon Valley C.E.O. Masters Work-Life Balance https://nyti.ms/2PzGkCd ,0.00,0.00
143,John McCain’s Parting Message: Our Greatness Is in Peril https://nyti.ms/2PFwLS7 ,0.00,0.00
144,"With Republicans clinging to a 50-49 Senate majority, the Arizona governor's choice for John McCain's successor has enormous implications https://nyti.ms/2PafiQV ",0.00,0.90
145,"""It's literally the warehousing of human beings — like they were packages to be shipped off."" A look at the ""stash houses"" smugglers use to house migrants to the U.S. https://nyti.ms/2PCIvEZ ",0.00,0.10
146,"Night owls of the world unite. In a 24-hour economy, what if going to bed in the wee hours is actually an advantage? https://nyti.ms/2PGbub9 ",0.00,0.10
147,"In @nytopinion,
Op-Ed contributor Miriam Pawel writes, ""Not every believer in the Party of California has been a great governor, nor is the philosophy alone sufficient to ensure success. But history suggests that it is a necessary starting point."" https://nyti.ms/2PzhTor ",0.28,0.46
148,Our running @nytimes story on the mass shooting at the Jacksonville Landing: https://www.nytimes.com/2018/08/26/us/jacksonville-landing-mass-shooting-madden-tournament.html?action=click&module=Top%20Stories&pgtype=Homepage …,0.00,0.00
149,"Catch up on the latest news about Elon Musk, John McCain's death, and other top stories, and get a look ahead, in your Weekend Briefing. https://www.nytimes.com/2018/08/26/briefing/michael-cohen-pope-francis-hawaii.html …",0.29,0.59
150,"FOLLOW ALONG HERE--IT YOU EAT FRUIT & VEGETABLES. My colleague @dannyhakim and I took a deep journey this summer into the world of pesticides, corporations that make them, workers who grow the food and the E.P.A., which decides if they are toxic or safe. https://www.nytimes.com/2018/08/24/business/epa-pesticides-studies-epidemiology.html …",0.25,0.45
151,"Glenn Close says she went into her latest role, a woman who spends her life as a self-described ""kingmaker"" to her novelist husband, trying to understand why she didn't just leave him https://nyti.ms/2PGIfVA ",0.50,0.90
152,"Police say a man shot last month in the Bronx is an associate of a well-known mafia family. ""The fact that they aren't as flagrant and notorious as they used to be doesn’t mean they’re not there."" https://nyti.ms/2wdTU6c ",-0.16,0.38
153,"""Dots don't matter"" in Gmail addresses, and plus signs have their pluses. Here's how to get more out of your Google mail account. https://nyti.ms/2wsohou ",0.50,0.50
154,"A few of the things prosecutors say Rep. Duncan Hunter bought with campaign funds: $14,261.33 family vacation to Italy, $32.31 in groceries, a cable bill https://nyti.ms/2P5UvxG ",-0.20,0.10
155,"Here are 13 great titles leaving Netflix in September, including classics like ""A Star is Born"" and modern gems you might not have gotten around to seeing yet https://nyti.ms/2P1DvIU ",0.50,0.53
156,"In Opinion

Author Jonathan Rauch writes, “Like it or not, inequality in today’s America drives politics toward rage and polarization, and toward destabilizing and dangerous populisms of both left and right."" https://nyti.ms/2BKsoCn ",-0.10,0.48
157,"Multiple people are dead after a gunman started firing during a video gaming tournament in Jacksonville, Florida, authorities say. https://nyti.ms/2PEnxW8 ",-0.10,0.20
158,Residents of the village with the smallest population in Switzerland wonder if nostalgic tourists and hikers attracted by the region's beauty will be enough to keep it alive https://nyti.ms/2wrVW1N ,-0.13,0.63
159,"The current home of the U.S. Open started out as a derelict relic of the 1964 World's Fair. Now it's a state-of-the-art, moneymaking playground for tennis. Here's your guide.  https://nyti.ms/2Pb8xhJ pic.twitter.com/60e14t0QLc",0.23,0.60
160,U.S. Open players — and fans — share their favorite memories from the tournament  https://nyti.ms/2wr7KS6 pic.twitter.com/bYSdG9omEU,0.25,0.75
161,Authorities report a mass shooting at a Florida bar that was hosting a live-streamed video gaming tournament. https://nyti.ms/2wfqJiX ,0.00,0.00
162,"Almost everyone involved in Job Corps questions whether it's living up to its ideals, with an outdated program model that often houses students miles from the jobs they need https://nyti.ms/2PFhrVy ",-0.40,0.63
163,"Arizona might be the only state that makes first-time possession of a small amount of marijuana a felony. In order to avoid jail time, those caught must pass an expensive diversion program. https://nyti.ms/2PEe1SU ",-0.21,0.52
164,Serena Williams said she had a chat with the man who wants to control her wardrobe at the French Open. https://nyti.ms/2P2FWuT ,0.07,0.20
165,"Neil Simon helped define American humor in plays, movies, and TV. His works also played significantly in the careers of Robert Redford and Matthew Broderick. https://nyti.ms/2wdB676 ",0.19,0.44
166,"""Silence is criminal these days,"" says Chobani's Hamdi Ulukaya, known for his hiring of refugees to help in their resettlement. ""You have to get involved. You have to raise your voice, and you have to take a stand."" https://nyti.ms/2wxRqiv ",-0.40,0.55
167,"Brands want to talk to young people without condescending to them. These consulting firms, staffed by 14- to 22-year-olds, are teaching them how. https://nyti.ms/2PzdstD ",0.10,0.40
168,"From ""The Odd Couple"" to ""Lost in Yonkers"", here's how New York Times reviewers saw Neil Simon's work through the decades. https://nyti.ms/2PzYofk ",-0.02,0.35
169,"A popular Chinese ride-sharing app, Didi Chuxing, suspends its carpooling service after 2 female passengers were killed in the space of 3 months. https://nyti.ms/2P9fyzE ",0.10,0.27
170,"While the police struggle to exert authority in a hippie commune in Copenhagen, the elders can expel those who violate local taboos. “If you cannot follow the rules, you are not accepted by the flock,” says a drug dealer, known as Pat the Albanian. https://nyti.ms/2wlYbVl ",0.00,0.00
171,"A migrant smuggler's ""stash house"" may be a motel room, or an apartment, or a trailer. But it is always part of a business; a place to store human cargo until transport. https://nyti.ms/2wr86rT ",0.00,0.10
172,Most busy commuters aren't going to drive all 100 miles of New York State Route 25. But here's what they'd see and who you might meet if you did. https://nyti.ms/2PG3qXO ,0.25,0.42
173,"In @nytopinion,
Op-Ed columnist @NickKristof writes, ""In the courage-free zone known as Congress, McCain showed that principle and politics can mix at the highest levels. And if it wasn’t often enough, well, he would be the first to admit it."" https://nyti.ms/2PFsnTd ",0.12,0.42
174,"Breaking News: The playwright Neil Simon died at 91. He was a master of Broadway comedy and beyond with hits like ""The Odd Couple"" and ""Barefoot in the Park."" https://nyti.ms/2wff9V8 ",-0.17,0.25
